 domgi       accession                      taxid      
	taxOrg                                                                  
                                                                                
                                                                                
                       
	nPig        nGi        
                                                                                
                       
	          1           2
      335786 pfam04432                          2023149
	Rhodococcus sp. 14-2470-1b                                              
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2024216
	Prevotella sp. P5-126                                                   
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2024218
	Prevotella sp. P4-119                                                   
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2024222
	Prevotella sp. P5-92                                                    
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2024223
	Prevotella sp. P3-122                                                   
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2024225
	Prevotella sp. P5-108                                                   
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2024227
	Prevotella sp. P4-67                                                    
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2024403
	Glutamicibacter sp. BW78                                                
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2024553
	Candidatus Viridilinea mediisalina                                      
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2028343
	Rhizobium sp. 11515TR                                                   
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2028570
	Rhodococcus sp. ACS1                                                    
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2029402
	Mesorhizobium sp. WSM3859                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2029412
	Mesorhizobium sp. WSM4313                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2032623
	Paracoccus sp. WN007                                                    
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2033406
	Prevotella sp. MGM2                                                     
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2033502
	Bacillus sp. AFS040349                                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2035223
	Alteromonas sp. DSM 26665                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2035246
	Plantactinospora sp. CNZ320                                             
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2037900
	Mesorhizobium sanjuanii                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2037901
	Sinorhizobium sp. M4_45                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2037902
	Ensifer sp. MMN_5                                                       
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2040650
	Helicobacter sp. MIT 00-7814                                            
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2044259
	Clostridium sp. HMb25                                                   
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2044509
	Arcobacter sp. CECT 8989                                                
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2049454
	Chroococcales cyanobacterium IPPAS B-1203                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2052957
	Pseudorhodobacter sp. MZDSW-24AT                                        
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2067452
	Tabrizicola sp. TH137                                                   
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2069310
	Brachybacterium sp. UMB0905                                             
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2070688
	Rubneribacter badeniensis                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2071627
	Plantactinospora sp. BB1                                                
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2072018
	Rhodobacteraceae bacterium TG-679                                       
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2072846
	Adhaeribacter sp. HMF7605                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2079460
	Solitalea longa                                                         
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2079793
	Aeromicrobium sp. 592                                                   
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2080573
	Pseudoclavibacter sp. RFBA6                                             
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2082387
	Mesorhizobium sp. Pch-S                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2094242
	Victivallales bacterium CCUG 44730                                      
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2100533
	Sphingobacterium haloxyli                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2107688
	Pleurocapsa sp. CCALA 161                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2107691
	Chamaesiphon polymorphus                                                
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2107693
	Chlorogloea sp. CCALA 695                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2107700
	filamentous cyanobacterium CCP2                                         
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2107701
	filamentous cyanobacterium CCP5                                         
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2107704
	filamentous cyanobacterium CCP3                                         
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2107706
	filamentous cyanobacterium Phorm 6                                      
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2108470
	Plantactinospora sp. BC1                                                
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2109334
	Blautia sp. SG-772                                                      
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2116368
	Vibrio sp. V01_P9A10T6                                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2116544
	Synechococcus lacustris                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2116684
	Cyanobium usitatum str. Tous                                            
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2116701
	Mesorhizobium ephedrae                                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2116704
	Sphingosinicella sp. GL-C-18                                            
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2126346
	Streptacidiphilus sp. DSM 106435                                        
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2126740
	Lachnoclostridium sp. SNUG30386                                         
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2135476
	Mesorhizobium sp. AP09                                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2135502
	Variovorax sp. GV014                                                    
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2135723
	Promicromonospora sp. AC04                                              
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2136175
	Thauera sp. D20                                                         
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2169400
	Gemmobacter sp. HYN0069                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2175664
	Curtobacterium sp. MCPF17_050                                           
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2182426
	Thioclava sp. NG1                                                       
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2184016
	Roseomonas sp. CQN31                                                    
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2184554
	Burkholderia sp. Bp8992                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2184697
	Acuticoccus sp. PTG4-2                                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2200907
	endosymbiont of Lamellibrachia luymesi                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2204195
	Vibrio sp. 2017V-1070                                                   
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2211117
	Pseudooceanicola sp. CY03                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2212991
	Clostridium sp. AWRP                                                    
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2213057
	Pseudomonas sp. R2A2                                                    
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2217913
	Burkholderia sp. JP2-270                                                
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2219703
	Rhizobiales bacterium KCTC 52945                                        
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2219864
	Sinomicrobium sp. N-1-3-6                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2233532
	Mesorhizobium sp. CNPSo 3140                                            
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2249426
	Leeuwenhoekiella sp. R-48165                                            
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2259333
	Rhodosalinus sp. E84                                                    
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2268447
	Propionibacteriaceae bacterium 16Sb5-5                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2282382
	Thalassococcus sp. WRAS1                                                
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2283143
	Prosthecochloris sp. ZM                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2283317
	Sphingomonas sp. WZY 27                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2283629
	Pseudodesulfovibrio sp. S3                                              
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2290918
	Candidatus Cryosericum odellii                                          
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2291989
	Clostridiaceae bacterium AF31-3BH                                       
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2291991
	Ruminococcaceae bacterium AM07-15                                       
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2291995
	Absiella sp. AM10-20                                                    
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2291998
	Alistipes sp. AF48-12                                                   
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292000
	Bacteroides sp. AM07-16                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292014
	Collinsella sp. AF37-9                                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292016
	Collinsella sp. AF39-11AT                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292023
	Collinsella sp. AM12-1                                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292025
	Collinsella sp. AM15-2                                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292027
	Collinsella sp. AM17-1                                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292041
	Dorea sp. AF36-15AT                                                     
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292049
	Olsenella sp. AM04-33                                                   
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292067
	Ruminococcus sp. AF31-16BH                                              
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292068
	Ruminococcus sp. AF37-6AT                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292070
	Ruminococcus sp. AF42-9BH                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292071
	Ruminococcus sp. AF45-4BH                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292072
	Ruminococcus sp. AF46-10NS                                              
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292073
	Ruminococcus sp. AM07-21                                                
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292181
	Firmicutes bacterium AF25-13AC                                          
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292204
	Clostridium sp. AF19-22AC                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292207
	Collinsella sp. AF02-46-1                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292221
	Collinsella sp. AF20-14LB                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292234
	Faecalibacterium sp. AF28-13AC                                          
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292251
	Ruminococcus sp. AF21-42                                                
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292269
	Ruminococcaceae bacterium AM28-23LB                                     
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292273
	Lachnospiraceae bacterium OF09-33XD                                     
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292275
	Clostridiaceae bacterium OM02-2AC                                       
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292285
	Bacteroides sp. OM08-17BH                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292297
	Butyricicoccus sp. AM42-5AC                                             
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292304
	Clostridium sp. AM33-3                                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292305
	Clostridium sp. AM42-4                                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292316
	Collinsella sp. AM34-10                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292318
	Collinsella sp. AM38-1BH                                                
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292320
	Collinsella sp. AM41-2BH                                                
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292322
	Collinsella sp. AM43-1                                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292324
	Collinsella sp. OF02-10                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292326
	Collinsella sp. OM04-5                                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292328
	Collinsella sp. OM07-12                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292330
	Collinsella sp. TF05-9AC                                                
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292336
	Collinsella sp. TF11-5AC                                                
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292344
	Collinsella sp. TM10-22                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292347
	Dorea sp. OM02-2LB                                                      
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292350
	Eubacterium sp. AM46-8                                                  
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292354
	Eubacterium sp. TM06-47                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292357
	Faecalibacterium sp. OM04-11BH                                          
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292371
	Ruminococcus sp. AM30-15AC                                              
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292372
	Ruminococcus sp. AM42-11                                                
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292376
	Ruminococcus sp. OM08-7                                                 
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292377
	Ruminococcus sp. TM10-9AT                                               
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292883
	Clostridiales bacterium AF36-10                                         
                                                                                
                                                                                
                       
	          1           2
      335786 pfam04432                          2292888
	Firmicutes bacterium AF36-19BH                                          
                                                                                
